,ItemID,sentiment,SentimentSource,text
235919,235932,0,Sentiment140,@joygiovanni http://twitpic.com/6c7jc - darn i logged in on my wrong account 
1052198,1052214,0,Sentiment140,Loved being up on stage at GSL and meeting JB and Suzi P!!! What an awesome show... Shame I lost to a 13 year old girl... 
1519505,1519521,1,Sentiment140,Paps made us sweat lastnight as he loaded the bases before striking out the next 3 batters - my blood pressure thxs you Paps  #redsox
1084953,1084969,0,Sentiment140,My iChat is broken 
165957,165970,1,Sentiment140,@gabysslave Morning! Yeah - big to do list today. But Tuesday already feeling much better than Monday 
173861,173874,0,Sentiment140,@gigglepops You're not kidding.  It's intensely depressing.  
710919,710935,0,Sentiment140,Going for my first swim in months. How many laps will I do? I'm thinking 10 tops 
1463435,1463451,0,Sentiment140,in so much pain right nowww 
1576088,1576104,1,Sentiment140,yay im happy 
110580,110593,0,Sentiment140,@davehillman I grew the catnip we used to give &quot;Kitty&quot; (not my name its the name she came with) she died in the house fire we had.  sad 
259753,259766,0,Sentiment140,@KimberlyKane life is very hard for the Female Adult stars right 
1033155,1033171,1,Sentiment140,needs to cool down. Just got back from shop. 
222455,222468,1,Sentiment140,@jetdillo or you can come join us at spark's   walking there now.
1345118,1345134,1,Sentiment140,@WCAN @Jo6789 @BuzzFood @HelloVeggie *blushing* 
924511,924527,0,Sentiment140,"ili_fm hehe nanti i check when i get back that link k, here my phone x de blackberry. im on my old maxis line gsm jer  send then pls!!"
719548,719564,1,Sentiment140,gonna go eat some thai-food now  be back in a few
944404,944420,1,Sentiment140,Just at home  cant wait until saturday!
1541583,1541599,0,Sentiment140,tacos for dinner simpsons on the tv..life is good....but poor @LisaMichelle_ is sick 
246119,246132,0,Sentiment140,@katephelan mr nimoy did not attend the screening AFAIK 
1152400,1152416,0,Sentiment140,So...my dear friend is mad at me. His crazy wife is causing problems and apparently it's all my fault 
1462596,1462612,1,Sentiment140,"imaging games. doh. parents just left, home alone this week. next sunday:Rome "
468424,468437,0,Sentiment140,"@RussellBfan90 hope they do that , or at least get croydon people , he cant really expect any of us to work , i feel so bad for dom "
541824,541840,1,Sentiment140,"&quot;I spent all my money on wine and cigarettes.&quot; ooh dear, you should spend your money in a ticket to brazil, i'd be so much glad  xxx"
513523,513536,1,Sentiment140,@tyler1061 dude you should totally give me a shoutout on the radio and please play paranoid by the jonas brothers 
209433,209446,1,Sentiment140,@jairodriguez Welcome to Twitter! 
1363127,1363143,1,Sentiment140,@ztiwokah That midget picture of you was really weird! Glad to hear that you grew out of it!!! Lol 
695522,695538,1,Sentiment140,"going to sleep at the casa, with that one kidddd "
1079733,1079749,0,Sentiment140,My tummy hurts... Too much junkk food!!! 
111917,111930,0,Sentiment140,"@DavidArchie Look for a Canadian flag in the crowd, my friend flew down from Toronto for the show. I'm stuck here though   Have fun!!!!!"
362944,362957,0,Sentiment140,@OhSillyGeorge sori bout dat but we can't c everything all d time 
1057312,1057328,1,Sentiment140,man u know things get very interesting sometimes lolll....im just 2 damn good 
1563253,1563269,1,Sentiment140,Watching TV with wife and home-from-college daughter 
787475,787491,1,Sentiment140,@FaBeSoCoOL actually I dnt have any major plans so I'm good... Prob going to go home... Embrace the rain &amp; make it a movie nite 
974681,974697,1,Sentiment140,@laurenabarlow Its my dream to go to Italy to!! 
14710,14723,1,Sentiment140,...watched The Great Debaters twice in one night...hahaha i like it 
1014176,1014192,1,Sentiment140,@lovephilosophy I wanna win! I wanna win! 
1270859,1270875,1,Sentiment140,whats somethingg to happen 
839881,839897,0,Sentiment140,I admire the efforts of the Green Hoods... but I'm a bit unsure of how effective they will be in the end. How sad. 
198092,198105,1,Sentiment140,@fiafortune lol I just enjoyed seeing their communication. it's always a joy to watch. 
1036713,1036729,1,Sentiment140,loving the new @TheMandyMoore album. 
1009123,1009139,1,Sentiment140,Just got back from seeing Terminator Salvation!!It was fantastic!  Espec seeing Bale again!Undoubtedly among my top 5 actors ever! 
17071,17084,0,Sentiment140,....stilll doing laundry...... 
1219635,1219651,0,Sentiment140,stripper pole comp. &amp; Onch is wearing a baby in his hair ! &amp;&amp; Steven is crying 
1456068,1456084,1,Sentiment140,il be in tacloban on thursday.  was invited to give a workshop on social communications and design by the Dept of Health. 
264076,264089,1,Sentiment140,@latifaM The episode of Everybody Loves Raymond TV Sitcom where Ray Romano's brother Robert gets married may interest you.. 
744739,744755,1,Sentiment140,@djginsberg pleasure it's a nice song! 
615214,615230,1,Sentiment140,"BRB, gonna brush my teeth! "
1097720,1097736,1,Sentiment140,Noah and the whale @ ae 
1574750,1574766,0,Sentiment140,"wow, im so hurt.  lykee damnn."
380203,380216,0,Sentiment140,"@Moosola Unless Sky pick it up at the last minute, I think the only way to watch it will be Channel 9 streams on the likes of Justin.TV "
907873,907889,1,Sentiment140,"Im pretty sure i have the best big brother in the history of big brothers, and everyone should be jealous "
1229661,1229677,1,Sentiment140,Taking the pooool cover offf 
907204,907220,0,Sentiment140,im on the good computer  not the shitty one that kept crashing last night 
258506,258519,1,Sentiment140,@jamie_oliver You must be the only person who can get away with sticking pics of his veg on the web  
471956,471969,1,Sentiment140,@terri5me2000 Who is making the picture on your profile pic? Is it Goofy? 
155967,155980,1,Sentiment140,"@faithEEE HAHA, i finished. wait. i mean i finished READING. if i finish my work its a miracle planned by God. i hope that happens  AMEN!"
1422263,1422279,0,Sentiment140,Hates getting sick right before a fun and exciting long-weekend 
143791,143804,1,Sentiment140,@cupcake07 Hug received 
1507462,1507478,0,Sentiment140,not again.... 666 will haunt me 
263846,263859,1,Sentiment140,@jbtamayo Thanks very much 
330427,330440,0,Sentiment140,"@MrsMcFlyGrimmy  i'm over here, george is still up. (kid lol)  "
1196530,1196546,0,Sentiment140,The weekend flew by. I just want to spend the day snuggled up with my hubby. I hate being sick. 
1204906,1204922,0,Sentiment140,This job is hell on my hands. I can barely touch anything without splitting my fingertips open or breaking my nails out of the nail beds. 
360307,360320,1,Sentiment140,@oldfox004 yeah I have already typed the skeleton of the last post but it is in my home PC. Will have to get home 2 develop &amp; post it.. 
1087460,1087476,0,Sentiment140,needs to sleep all day! but i have so much hw 
48406,48419,0,Sentiment140,"@alynnsayys ah, i'm sorry, whos funeral? "
1009034,1009050,1,Sentiment140,"MTV Music Awards was the best. Best movie, best fight, best kiss.. twilight!  can't wait for NEW MOON! &lt;3"
965785,965801,1,Sentiment140,"It's not easy being green, but it IS easy being these!   http://bit.ly/xP9Ve"
626988,627004,0,Sentiment140,Day one in the hotel was 1.5 to 1.8 meg download speeds. Now it's in the 150 to 200 k  The internetz tubes is taunting me
384154,384167,1,Sentiment140,@purrsikat isn't that whats twitter is good for? joking around and innuendo ? 
113526,113539,1,Sentiment140,@brianlayman And are we ever gonna get a tag suggestor plug-in on EveryJoe.com? Please? W/ cream and sugar on top. 
356087,356100,0,Sentiment140,"@NoraReed a year ago, after our move, we had tons and tons of packing material. Didn't save any, though "
899156,899172,1,Sentiment140,"I'm watching 1,000 Ways to Die. Loving this show! "
358579,358592,0,Sentiment140,@OfficialAS yeah neither. I'm TRYING to be happy. but a WHOLE MONTH?! and during our hols  nope. no way! I'm being selfish! we're being...
949015,949031,0,Sentiment140,"Just finished 'New moon rising' buffy season 4, so sad  but it is such a cool ending for Willow and Oz"
250673,250686,1,Sentiment140,@IngridEsq  Your Welcome LS... I had a ball last night. I didnt get home till Sun was coming up. NOW THAT IS A GREAT WEDDING. Mrs Hillard 
864220,864236,0,Sentiment140,i think my tweetdeck is failing me 
1544081,1544097,0,Sentiment140,The Belgium waffles were NOT ready yet! 
78438,78451,1,Sentiment140,"@cdiddyxO lmfaooo its okay, you aint suck as bad as me  LOL !"
1474269,1474285,1,Sentiment140,Its cool tho I plan on partying hard next weekend.. so I'm good.. 
1446955,1446971,0,Sentiment140,I miss my boyfwend. 
836777,836793,0,Sentiment140,http://twitpic.com/7hz08 - thinking to myself..... &quot;i need to TrY &amp;&amp; make today somewhat PRoDuCTiVe&quot;  ughhh i hate being sick!
29350,29363,1,Sentiment140,"@akarra you too! (I'll listen to the song tomorrow, too sleepy now!  )"
1041520,1041536,0,Sentiment140,math is soooooo boring 
817222,817238,0,Sentiment140,"@GWJRabbit also, online worked for you? I tried for a game 5 times yesterday and no opponents  Will give it another shot tonight"
757294,757310,1,Sentiment140,Hmmm...amazed at what u find ppl like just by what they listen to!!!!!  *cheesy grin*
150135,150148,1,Sentiment140,"@emmaluxton  YES! another one jess  this will be fun is yous all read it, beleve"
695964,695980,0,Sentiment140,fun day shopping in Columbus with the girls...and Brett for a few. Last Saurday out with Andrea  barssss....duuuh
250451,250464,1,Sentiment140,@khanserai Thank you  and hope you are having a great day
64618,64631,0,Sentiment140,"@bitbuzz guys, do you have news for our very poor and disconnected connection down here? "
1427135,1427151,0,Sentiment140,"hitting the sack early tonight, haven't slept in the past 32 hrs "
1088664,1088680,1,Sentiment140,night fellow tweetereres 
90532,90545,1,Sentiment140,@ChinaBlue79 Awww you don't look a day older than Sonic The Hedgehog 
71064,71077,1,Sentiment140,"@Ca9ine Aww, that will teach you to be quick next time! "
805269,805285,0,Sentiment140,i feel sick  have had a headache and sore throat since yesterday 
1415719,1415735,1,Sentiment140,Great #Twiiter #background - @Farrhad http://twitter.com/Farrhad - love it 
1076239,1076255,1,Sentiment140,my playlist is full of Taylor Swift's songs! +the climb of Miley. 
746691,746707,0,Sentiment140,Hamilton is starting 16th. Humiliating. #f1 #mclaren. 
202090,202103,0,Sentiment140,@iPhone_dev and @musclenerd never mind. I just read that mms is only available on 3g or later. Sucks. 
461994,462007,0,Sentiment140,"@tommcfly WE'RE ALL ALREADY MISSING YOU  have a nice journey and PLEASE, come back! Xx"
167759,167772,0,Sentiment140,"@dmc584 haha, I didn't do it. and why is work falling apart? "
